mp1,mp2,party1,party2,weight,cross_party,lok_nos
SANJAY SHAMRAO DHOTRE,BHARTRUHARI MAHTAB,BJP,BJP,9,FALSE,16
BHOLA SINGH,VINOD KUMAR SONKAR,BJP,BJP,8,FALSE,17
BHARTRUHARI MAHTAB,SANJAY SHAMRAO DHOTRE,BJP,BJP,7,FALSE,16
BHARAT SINGH,MANSHANKAR NINAMA,BJP,BJP,6,FALSE,16
JANARDAN MISHRA,RODMAL NAGAR,BJP,BJP,6,FALSE,17
JUGAL KISHORE SHARMA,RITI PATHAK,BJP,BJP,5,FALSE,"16,17"
LAXMI NARAYAN YADAV,RAM TAHAL CHOUDHARY,BJP,BJP,5,FALSE,16
RAMA DEVI,LAXMI NARAYAN YADAV,BJP,BJP,5,FALSE,16
RAMA DEVI,RAM TAHAL CHOUDHARY,BJP,BJP,5,FALSE,16
RITI PATHAK,JUGAL KISHORE SHARMA,BJP,BJP,5,FALSE,"16,17"
SUMEDHANAND SARASWATI,RANJEETA KOLI,BJP,BJP,5,FALSE,17
SUMEDHANAND SARASWATI,SANTOSH AHLAWAT,BJP,BJP,5,FALSE,16
BHOLA SINGH,SUKANTA MAJUMDAR,BJP,BJP,4,FALSE,17
BIDYUT BARAN MAHATO,SUDHEER GUPTA,BJP,BJP,4,FALSE,"16,17"
C.N. ANNADURAI,MANJULATA MANDAL,DMK,Regional,4,TRUE,17
GEORGE BAKER,RICHARD HAY,BJP,BJP,4,FALSE,16
JASKAUR MEENA,NIHAL CHAND CHAUHAN,BJP,BJP,4,FALSE,17
KRISHNA PAL SINGH YADAV,RITA BAHUGUNA JOSHI,BJP,BJP,4,FALSE,17
LAXMAN GILUWA,RAM TAHAL CHOUDHARY,BJP,BJP,4,FALSE,16
MANJULATA MANDAL,C.N. ANNADURAI,Regional,DMK,4,TRUE,17
PUSHPENDRA SINGH CHANDEL,MALA RAJYA LAXMI SHAH,BJP,BJP,4,FALSE,17
RANJEETA KOLI,SUMEDHANAND SARASWATI,BJP,BJP,4,FALSE,17
SANGEETA KUMARI SINGH DEO,JAYANTA KUMAR ROY,BJP,BJP,4,FALSE,17
SANGEETA KUMARI SINGH DEO,SUKANTA MAJUMDAR,BJP,BJP,4,FALSE,17
SANJAY SHAMRAO DHOTRE,SATYA PAL SINGH,BJP,BJP,4,FALSE,16
SANTOSH AHLAWAT,SUMEDHANAND SARASWATI,BJP,BJP,4,FALSE,16
SATYA PAL SINGH,SANJAY SHAMRAO DHOTRE,BJP,BJP,4,FALSE,16
UPENDRA SINGH RAWAT,KAUSHAL KISHORE,BJP,BJP,4,FALSE,17
BIDYUT BARAN MAHATO,NARANBHAI KACHHADIA,BJP,BJP,3,FALSE,16
JAYANTA KUMAR ROY,SANGEETA KUMARI SINGH DEO,BJP,BJP,3,FALSE,17
KRISHNA PAL SINGH YADAV,UNMESH BHAIYYASAHEB PATIL,BJP,BJP,3,FALSE,17
KRUPAL BALAJI TUMANE,SANJAY HARIBHAU JADHAV,Shiv Sena,Shiv Sena,3,FALSE,17
LAXMAN GILUWA,RAMA DEVI,BJP,BJP,3,FALSE,16
MANOJ RAJORIA,RANJEETA KOLI,BJP,BJP,3,FALSE,17
MANOJ RAJORIA,SUMEDHANAND SARASWATI,BJP,BJP,3,FALSE,17
NIHAL CHAND CHAUHAN,JASKAUR MEENA,BJP,BJP,3,FALSE,17
RAM TAHAL CHOUDHARY,PRATAPRAO GANPATRAO JADHAV,BJP,Shiv Sena,3,TRUE,16
RAMA DEVI,GIRIDHARI YADAV,BJP,JDU,3,TRUE,17
RANJEET RANJAN,RAJESH RANJAN (PAPPU YADAV),INC,RJD,3,TRUE,16
RAVINDRA KUMAR PANDEY,NISHIKANT DUBEY,BJP,BJP,3,FALSE,16
REBATI TRIPURA,VIJAY KUMAR DUBEY,BJP,BJP,3,FALSE,17
SANJAY HARIBHAU JADHAV,KRUPAL BALAJI TUMANE,Shiv Sena,Shiv Sena,3,FALSE,17
SUKANTA MAJUMDAR,SANGEETA KUMARI SINGH DEO,BJP,BJP,3,FALSE,17
SUKANTA MAJUMDAR,VINOD KUMAR SONKAR,BJP,BJP,3,FALSE,17
SUNIL KUMAR PINTU,JUGAL KISHORE SHARMA,JDU,BJP,3,TRUE,17
A. CHELLAKUMAR,AMAR SINGH,INC,INC,2,FALSE,17
BHARAT SINGH,VIJAY KUMAR HANSDAK,BJP,Regional,2,TRUE,16
BHARTRUHARI MAHTAB,SATYA PAL SINGH,BJP,BJP,2,FALSE,16
BHOLA SINGH,PREM SINGH CHANDUMAJRA,BJP,Regional,2,TRUE,16
CHANDRA PRAKASH CHOUDHARY,SANJAY SETH,Regional,BJP,2,TRUE,17
CHANDRA PRAKASH JOSHI,RODMAL NAGAR,BJP,BJP,2,FALSE,17
CHANDRA PRAKASH JOSHI,SUNIL KUMAR SINGH,BJP,BJP,2,FALSE,16
CHINTAMANI MALVIYA,BODH SINGH BHAGAT,BJP,BJP,2,FALSE,16
DHARMENDRA YADAV,SHRIKANT EKNATH SHINDE,SP,Shiv Sena,2,TRUE,16
DILESHWAR KAMAIT,JUGAL KISHORE SHARMA,JDU,BJP,2,TRUE,17
DILESHWAR KAMAIT,RITI PATHAK,JDU,BJP,2,TRUE,17
DINESH CHANDRA YADAV,SANTOSH KUMAR,JDU,JDU,2,FALSE,17
GIRIDHARI YADAV,RAMA DEVI,JDU,BJP,2,TRUE,17
GUMAN SINGH DAMOR,DHAL SINGH BISEN,BJP,BJP,2,FALSE,17
K. MURALEEDHARAN,MOHAMMAD JAWED,INC,INC,2,FALSE,17
KAUSHALENDRA KUMAR,DINESH CHANDRA YADAV,JDU,JDU,2,FALSE,17
KHAGEN MURMU,MAHABALI SINGH,BJP,JDU,2,TRUE,17
KURUVA GORANTLA MADHAV,ADALA PRABHAKARA REDDY,INC,INC,2,FALSE,17
LAXMAN GILUWA,LAXMI NARAYAN YADAV,BJP,BJP,2,FALSE,16
LAXMI NARAYAN YADAV,PRATAPRAO GANPATRAO JADHAV,BJP,Shiv Sena,2,TRUE,16
LAXMI NARAYAN YADAV,RAMA DEVI,BJP,BJP,2,FALSE,16
LAXMI NARAYAN YADAV,VIJAY KUMAR HANSDAK,BJP,Regional,2,TRUE,16
LOCKET CHATTERJEE,RAMESH CHANDER KAUSHIK,BJP,BJP,2,FALSE,17
LOCKET CHATTERJEE,SUNIL KUMAR PINTU,BJP,JDU,2,TRUE,17
MAGUNTA SREENIVASULU REDDY,KURUVA GORANTLA MADHAV,TDP,INC,2,TRUE,17
NARANBHAI KACHHADIA,BIDYUT BARAN MAHATO,BJP,BJP,2,FALSE,16
NARANBHAI KACHHADIA,CHANDRA PRAKASH JOSHI,BJP,BJP,2,FALSE,16
NISHIKANT DUBEY,RAJESH PANDEY,BJP,BJP,2,FALSE,16
NISHIKANT DUBEY,RAVINDRA KUMAR PANDEY,BJP,BJP,2,FALSE,16
PARESH RAWAL,DEVUSINH JESINGBHAI CHAUHAN,BJP,BJP,2,FALSE,16
PRATAPRAO GANPATRAO JADHAV,SAKUNTALA LAGURI,Shiv Sena,Regional,2,TRUE,16
PRATAPRAO JADHAV,SUDHEER GUPTA,Shiv Sena,BJP,2,TRUE,17
RAMA DEVI,LAXMAN GILUWA,BJP,BJP,2,FALSE,16
RAMA DEVI,LOCKET CHATTERJEE,BJP,BJP,2,FALSE,17
RAMESH CHANDER KAUSHIK,RAMA DEVI,BJP,BJP,2,FALSE,17
RICHARD HAY,GEORGE BAKER,BJP,BJP,2,FALSE,16
RODMAL NAGAR,JANARDAN MISHRA,BJP,BJP,2,FALSE,"16,17"
SAKUNTALA LAGURI,LAXMAN GILUWA,Regional,BJP,2,TRUE,16
SANTOSH AHLAWAT,ASADUDDIN OWAISI,BJP,Regional,2,TRUE,16
SANTOSH KUMAR,HARI OM PANDEY,JDU,BJP,2,TRUE,16
SHER SINGH GHUBAYA,RAVINDRA KUMAR RAY,INC,BJP,2,TRUE,16
SHRIKANT EKNATH SHINDE,UNMESH BHAIYYASAHEB PATIL,Shiv Sena,BJP,2,TRUE,17
SUDHEER GUPTA,BIDYUT BARAN MAHATO,BJP,BJP,2,FALSE,"16,17"
SUDHEER GUPTA,RAVINDRA KUSHAWAHA,BJP,BJP,2,FALSE,17
SUMEDHANAND SARASWATI,MANOJ RAJORIA,BJP,BJP,2,FALSE,17
SUMEDHANAND SARASWATI,OM PRAKASH YADAV,BJP,BJP,2,FALSE,16
SUNIL KUMAR SINGH,PRATIMA BHOUMIK,BJP,BJP,2,FALSE,17
VIJAY KUMAR DUBEY,REBATI TRIPURA,BJP,BJP,2,FALSE,17
VIJAY KUMAR DUBEY,SANTOSH KUMAR,BJP,JDU,2,TRUE,17
VIKRAM USENDI,BANSHILAL MAHTO,BJP,BJP,2,FALSE,16
VINOD KUMAR SONKAR,BHOLA SINGH,BJP,BJP,2,FALSE,17
VINOD KUMAR SONKAR,NISITH PRAMANIK,BJP,BJP,2,FALSE,17
A. CHELLAKUMAR,ADOOR PRAKASH,INC,INC,1,FALSE,17
ABHIJIT MUKHERJEE,RATTAN LAL KATARIA,INC,BJP,1,TRUE,16
ABHISHEK SINGH,OM BIRLA,BJP,BJP,1,FALSE,16
ABHISHEK SINGH,RAMA DEVI,BJP,BJP,1,FALSE,16
ADALA PRABHAKARA REDDY,CHINTA ANURADHA,INC,INC,1,FALSE,17
ADHIR RANJAN CHOWDHURY,PINAKI MISRA,INC,Regional,1,TRUE,16
ADHIR RANJAN CHOWDHURY,RABINDRA KUMAR JENA,INC,Regional,1,TRUE,16
ADHIR RANJAN CHOWDHURY,SATISH KUMAR GAUTAM,INC,BJP,1,TRUE,16
ADHIR RANJAN CHOWDHURY,SHIVKUMAR CHANABASAPPA UDASI,INC,BJP,1,TRUE,16
ADOOR PRAKASH,SHASHI THAROOR,INC,INC,1,FALSE,17
AJAY BHATT,SANJAY HARIBHAU JADHAV,BJP,Shiv Sena,1,TRUE,17
AJAY KUMAR MANDAL,JUGAL KISHORE SHARMA,JDU,BJP,1,TRUE,17
AJAY KUMAR MANDAL,RAMESH CHANDER KAUSHIK,JDU,BJP,1,TRUE,17
AJAY NISHAD,CHANDESHWAR PRASAD,BJP,JDU,1,TRUE,17
AJAY TAMTA,BHARTRUHARI MAHTAB,BJP,BJP,1,FALSE,16
ALOK KUMAR SUMAN,SUMEDHANAND SARASWATI,JDU,BJP,1,TRUE,17
AMAR SINGH,CHANDESHWAR PRASAD,INC,JDU,1,TRUE,17
AMAR SINGH,SAPTAGIRI SANKAR ULAKA,INC,INC,1,FALSE,17
ANIL FIROJIYA,KHAGEN MURMU,BJP,BJP,1,FALSE,17
ANIL SHIROLE,HARISH DWIVEDI,BJP,BJP,1,FALSE,16
ANIRUDHAN SAMPATH,M. B. RAJESH,Left,Left,1,FALSE,16
ANIRUDHAN SAMPATH,UDAY PRATAP SINGH,Left,BJP,1,TRUE,16
ANNPURNA DEVI,GIRIDHARI YADAV,BJP,JDU,1,TRUE,17
ANNPURNA DEVI,PASHUPATI NATH SINGH,BJP,BJP,1,FALSE,17
ANNPURNA DEVI,RAMA DEVI,BJP,BJP,1,FALSE,17
ANOOP MISHRA,SHARAD TRIPATHI,BJP,BJP,1,FALSE,16
ANTO ANTONY,ADOOR PRAKASH,INC,INC,1,FALSE,17
ANTO ANTONY,ANJU BALA,INC,BJP,1,TRUE,16
ANTO ANTONY,K. C. VENUGOPAL,INC,INC,1,FALSE,16
ANTO ANTONY,PRAHLAD SINGH PATEL,INC,BJP,1,TRUE,16
ANUPAM HAZRA,BHAIRON PRASAD MISHRA,INC,BJP,1,TRUE,16
ANURAG SHARMA,PRATAP CHANDRA SARANGI,BJP,BJP,1,FALSE,17
ANURAG SHARMA,RAMAPATI RAM TRIPATHI,BJP,BJP,1,FALSE,17
ANURAG SHARMA,REBATI TRIPURA,BJP,BJP,1,FALSE,17
ANURAG SHARMA,VIJAY KUMAR DUBEY,BJP,BJP,1,FALSE,17
ANURAG SINGH THAKUR,RABINDRA KUMAR JENA,BJP,Regional,1,TRUE,16
APARAJITA SARANGI,DUSHYANT SINGH,BJP,BJP,1,FALSE,17
APARAJITA SARANGI,JASKAUR MEENA,BJP,BJP,1,FALSE,17
APARAJITA SARANGI,LOCKET CHATTERJEE,BJP,BJP,1,FALSE,17
ARJUN RAM MEGHWAL,NITYANAND RAI,BJP,BJP,1,FALSE,16
ARJUNLAL MEENA,DHARMENDRA YADAV,BJP,SP,1,TRUE,16
ARJUNLAL MEENA,LAKHAN LAL SAHU,BJP,BJP,1,FALSE,16
ARJUNLAL MEENA,SUNIL KUMAR SINGH,BJP,BJP,1,FALSE,17
ARUN KUMAR SAGAR,ASHOK KUMAR RAWAT,BJP,BJP,1,FALSE,17
ARVIND KUMAR SHARMA,AJAY NISHAD,BJP,BJP,1,FALSE,17
ARVIND KUMAR SHARMA,QUEEN OJA,BJP,BJP,1,FALSE,17
ASADUDDIN OWAISI,JAGDAMBIKA PAL,Regional,BJP,1,TRUE,16
BADRUDDIN AJMAL,DEAN KURIAKOSE,Regional,INC,1,TRUE,17
BALABHADRA MAJHI,ARJUN RAM MEGHWAL,BJP,BJP,1,FALSE,16
BALABHADRA MAJHI,DINESH TRIVEDI,BJP,INC,1,TRUE,16
BALABHADRA MAJHI,VIJAY KUMAR HANSDAK,BJP,Regional,1,TRUE,16
BALABHADRA MAJHI,Y. S. AVINASH REDDY,BJP,INC,1,TRUE,16
BANSHILAL MAHTO,ABHISHEK SINGH,BJP,BJP,1,FALSE,16
BANSHILAL MAHTO,LAKHAN LAL SAHU,BJP,BJP,1,FALSE,16
BANSHILAL MAHTO,SHRIKANT EKNATH SHINDE,BJP,Shiv Sena,1,TRUE,16
BEESETTI VENKATA SATYAVATHI,ADALA PRABHAKARA REDDY,INC,INC,1,FALSE,17
BEESETTI VENKATA SATYAVATHI,CHINTA ANURADHA,INC,INC,1,FALSE,17
BHAGIRATH CHAUDHARY,RANJEETA KOLI,BJP,BJP,1,FALSE,17
BHAGIRATH CHAUDHARY,SUMEDHANAND SARASWATI,BJP,BJP,1,FALSE,17
BHAGWANT MANN,ABHISHEK SINGH,AAP,BJP,1,TRUE,16
BHAGWANT MANN,HANUMAN BENIWAL,AAP,Regional,1,TRUE,17
BHAGWANTH KHUBA,HEMANT PATIL,BJP,Shiv Sena,1,TRUE,17
BHAGWANTH KHUBA,SUNIL KUMAR SINGH,BJP,BJP,1,FALSE,17
BHAGWANTH KHUBA,VINOD KUMAR SONKAR,BJP,BJP,1,FALSE,17
BHAIRON PRASAD MISHRA,NAGENDRA KUMAR PRADHAN,BJP,Regional,1,TRUE,16
BHAIRON PRASAD MISHRA,RAMESH BIDHURI,BJP,BJP,1,FALSE,16
BHARTRUHARI MAHTAB,ARJUN RAM MEGHWAL,BJP,BJP,1,FALSE,16
BHARTRUHARI MAHTAB,PINAKI MISRA,BJP,Regional,1,TRUE,17
BHOLA SINGH,DIPSINH SHANKARSINH RATHOD,BJP,BJP,1,FALSE,16
BHOLA SINGH,NISHIKANT DUBEY,BJP,BJP,1,FALSE,16
BHOLA SINGH,NISITH PRAMANIK,BJP,BJP,1,FALSE,17
BHOLA SINGH,SANGEETA KUMARI SINGH DEO,BJP,BJP,1,FALSE,17
BIDYUT BARAN MAHATO,ADOOR PRAKASH,BJP,INC,1,TRUE,17
BIDYUT BARAN MAHATO,PRATAPRAO JADHAV,BJP,Shiv Sena,1,TRUE,17
BIDYUT BARAN MAHATO,SUKANTA MAJUMDAR,BJP,BJP,1,FALSE,17
BISHNU PADA RAY,RAVINDRA KUSHAWAHA,BJP,BJP,1,FALSE,16
BOORA NARSAIAH GOUD,KRISHNA RAJ,Regional,BJP,1,TRUE,16
BOORA NARSAIAH GOUD,P. KARUNAKARAN,Regional,Left,1,TRUE,16
BRIJENDRA SINGH,JAGANNATH SARKAR,BJP,BJP,1,FALSE,17
BRIJENDRA SINGH,KIRIT PREMJIBHAI SOLANKI,BJP,BJP,1,FALSE,17
BRIJENDRA SINGH,S. JAGATHRAKSHAKAN,BJP,DMK,1,TRUE,17
C. N. JAYADEVAN,ANTO ANTONY,Left,INC,1,TRUE,16
C. N. JAYADEVAN,K. C. VENUGOPAL,Left,INC,1,TRUE,16
C. N. JAYADEVAN,KRUPAL BALAJI TUMANE,Left,Shiv Sena,1,TRUE,16
C.N. ANNADURAI,ANURAG SHARMA,DMK,BJP,1,TRUE,17
C.N. ANNADURAI,REBATI TRIPURA,DMK,BJP,1,TRUE,17
CHANDAN SINGH,AJAY NISHAD,Regional,BJP,1,TRUE,17
CHANDAN SINGH,DILESHWAR KAMAIT,Regional,JDU,1,TRUE,17
CHANDAN SINGH,NAMA NAGESWARA RAO,Regional,Regional,1,FALSE,17
CHANDESHWAR PRASAD,MANNE SRINIVAS REDDY,JDU,Regional,1,TRUE,17
CHANDRA PRAKASH CHOUDHARY,KURUVA GORANTLA MADHAV,Regional,INC,1,TRUE,17
CHANDRA PRAKASH JOSHI,AJAY NISHAD,BJP,BJP,1,FALSE,16
CHANDRA PRAKASH JOSHI,BALABHADRA MAJHI,BJP,BJP,1,FALSE,16
CHANDRA PRAKASH JOSHI,BIDYUT BARAN MAHATO,BJP,BJP,1,FALSE,16
CHANDRA PRAKASH JOSHI,DHAL SINGH BISEN,BJP,BJP,1,FALSE,17
CHANDRA PRAKASH JOSHI,LOCKET CHATTERJEE,BJP,BJP,1,FALSE,17
CHANDRA PRAKASH JOSHI,OM BIRLA,BJP,BJP,1,FALSE,16
CHANDRA PRAKASH JOSHI,RAVINDRA KUSHAWAHA,BJP,BJP,1,FALSE,17
CHANDRA PRAKASH JOSHI,VISHNU DAYAL RAM,BJP,BJP,1,FALSE,16
CHANDRA SEKHAR SAHU,PRATAPRAO JADHAV,Regional,Shiv Sena,1,TRUE,17
CHANDU LAL SAHU,NINONG ERING,BJP,INC,1,TRUE,16
CHANDU LAL SAHU,RAGHAV LAKHANPAL,BJP,BJP,1,FALSE,16
CHANDU LAL SAHU,VEENA DEVI,BJP,Regional,1,TRUE,16
CHARANJEET SINGH RORI,CHANDU LAL SAHU,Regional,BJP,1,TRUE,16
CHARANJEET SINGH RORI,DUSHYANT CHAUTALA,Regional,Regional,1,FALSE,16
CHHEDI PASWAN,RAVINDRA KUMAR RAY,BJP,BJP,1,FALSE,16
CHHOTELAL,BODH SINGH BHAGAT,BJP,BJP,1,FALSE,16
CHINTA ANURADHA,ADALA PRABHAKARA REDDY,INC,INC,1,FALSE,17
CHINTA ANURADHA,BEESETTI VENKATA SATYAVATHI,INC,INC,1,FALSE,17
CHINTA ANURADHA,GODDETI MADHAVI,INC,INC,1,FALSE,17
CHINTA ANURADHA,MADDILA GURUMOORTHY,INC,INC,1,FALSE,17
CHINTA ANURADHA,POCHA BRAHMANANDA REDDY,INC,INC,1,FALSE,17
CHINTAMANI MALVIYA,RAVINDRA KUMAR RAY,BJP,BJP,1,FALSE,16
CHINTAMANI MALVIYA,VINOD KUMAR BOIANAPALLI,BJP,Regional,1,TRUE,16
CHIRAG PASWAN,KESHARI DEVI PATEL,Regional,BJP,1,TRUE,17
CHIRAG PASWAN,SUNIL KUMAR SINGH,Regional,BJP,1,TRUE,16
CHUNNI LAL SAHU,SUNIL KUMAR SINGH,BJP,BJP,1,FALSE,17
D. M. KATHIR ANAND,ANURAG SHARMA,DMK,BJP,1,TRUE,17
D. RAVIKUMAR,APARAJITA SARANGI,DMK,BJP,1,TRUE,17
D. RAVIKUMAR,ASADUDDIN OWAISI,DMK,Regional,1,TRUE,17
DEAN KURIAKOSE,RAJMOHAN UNNITHAN,INC,INC,1,FALSE,17
DEBASREE CHAUDHURI,M. P. ABDUSSAMAD SAMADANI,BJP,Regional,1,TRUE,17
DEEPAK BAIJ,ABDUL KHALEQUE,INC,INC,1,FALSE,17
DEEPAK BAIJ,KAUSHALENDRA KUMAR,INC,JDU,1,TRUE,17
DEEPAK BAIJ,MALA ROY,INC,INC,1,FALSE,17
DEVUSINH JESINGBHAI CHAUHAN,DIPSINH SHANKARSINH RATHOD,BJP,BJP,1,FALSE,16
DEVUSINH JESINGBHAI CHAUHAN,HARI MANJHI,BJP,BJP,1,FALSE,16
DEVUSINH JESINGBHAI CHAUHAN,PARESH RAWAL,BJP,BJP,1,FALSE,16
DHAL SINGH BISEN,DUSHYANT SINGH,BJP,BJP,1,FALSE,17
DHAL SINGH BISEN,P. C. MOHAN,BJP,BJP,1,FALSE,17
DHARMENDRA YADAV,DIPSINH SHANKARSINH RATHOD,SP,BJP,1,TRUE,16
DHARMENDRA YADAV,NAGENDRA KUMAR PRADHAN,SP,Regional,1,TRUE,16
DILESHWAR KAMAIT,JYOTIRMAY SINGH MAHATO,JDU,BJP,1,TRUE,17
DINESH CHANDRA YADAV,SATYADEV PACHAURI,JDU,BJP,1,TRUE,17
DINESH TRIVEDI,MAUSAM NOOR,INC,INC,1,FALSE,16
DINESH TRIVEDI,RAMA DEVI,INC,BJP,1,TRUE,16
DIPSINH SHANKARSINH RATHOD,ANTO ANTONY,BJP,INC,1,TRUE,16
DULAL CHANDRA GOSWAMI,CHANDESHWAR PRASAD,JDU,JDU,1,FALSE,17
DURGA DAS UIKEY,RODMAL NAGAR,BJP,BJP,1,FALSE,17
DUSHYANT CHAUTALA,BHAIRON PRASAD MISHRA,Regional,BJP,1,TRUE,16
DUSHYANT CHAUTALA,DHARMENDRA YADAV,Regional,SP,1,TRUE,16
E. T. MOHAMMED BASHEER,ANURAG SINGH THAKUR,Regional,BJP,1,TRUE,16
E. T. MOHAMMED BASHEER,ARJUNLAL MEENA,Regional,BJP,1,TRUE,17
FAGGAN SINGH KULASTE,OM BIRLA,BJP,BJP,1,FALSE,16
FAGGAN SINGH KULASTE,RAMESWAR TELI,BJP,BJP,1,FALSE,16
GAJENDRA SINGH SHEKHAWAT,PRAHLAD SINGH PATEL,BJP,BJP,1,FALSE,16
GANESH SINGH,PREM SINGH CHANDUMAJRA,BJP,Regional,1,TRUE,16
GAURAV GOGOI,AJAY NISHAD,INC,BJP,1,TRUE,16
GAURAV GOGOI,BADRUDDIN AJMAL,INC,Regional,1,TRUE,17
