mp1,mp2,party1,party2,weight,cross_party,lok_nos
RAHUL KASWAN,RAJESH RANJAN (PAPPU YADAV),INC,RJD,1,TRUE,16
RAHUL KASWAN,UDAY PRATAP SINGH,INC,BJP,1,TRUE,16
RAJA AMARESHWARA NAIK,BHOLA SINGH,BJP,BJP,1,FALSE,17
RAJA AMARESHWARA NAIK,SUKANTA MAJUMDAR,BJP,BJP,1,FALSE,17
RAJA AMARESHWARA NAIK,VINOD KUMAR SONKAR,BJP,BJP,1,FALSE,17
RAJASHREE MALLICK,JUAL ORAM,Regional,BJP,1,TRUE,17
RAJASHREE MALLICK,MAHESH SAHOO,Regional,Regional,1,FALSE,17
RAJASHREE MALLICK,NISHIKANT DUBEY,Regional,BJP,1,TRUE,17
RAJASHREE MALLICK,RAMESH CHANDRA MAJHI,Regional,Regional,1,FALSE,17
RAJDEEP ROY,KRIPANATH MALLAH,BJP,BJP,1,FALSE,17
RAJENDRA AGRAWAL,ANIL FIROJIYA,BJP,BJP,1,FALSE,17
RAJENDRA AGRAWAL,GIRIDHARI YADAV,BJP,JDU,1,TRUE,17
RAJENDRA AGRAWAL,JAGDAMBIKA PAL,BJP,BJP,1,FALSE,17
RAJENDRA AGRAWAL,LALLU SINGH,BJP,BJP,1,FALSE,16
RAJENDRA AGRAWAL,OM BIRLA,BJP,BJP,1,FALSE,16
RAJENDRA AGRAWAL,RAHUL KASWAN,BJP,INC,1,TRUE,16
RAJENDRA AGRAWAL,RAMESH CHANDRA MAJHI,BJP,Regional,1,TRUE,17
RAJENDRA AGRAWAL,UDAY PRATAP SINGH,BJP,BJP,1,FALSE,16
RAJESH PANDEY,RAVINDRA KUMAR PANDEY,BJP,BJP,1,FALSE,16
RAJESH RANJAN (PAPPU YADAV),BHANU PRATAP SINGH VERMA,RJD,BJP,1,TRUE,16
RAJESH RANJAN (PAPPU YADAV),CHANDRA PRAKASH JOSHI,RJD,BJP,1,TRUE,16
RAJESH RANJAN (PAPPU YADAV),GAURAV GOGOI,RJD,INC,1,TRUE,16
RAJESH RANJAN (PAPPU YADAV),JAY PRAKASH NARAYAN YADAV,RJD,RJD,1,FALSE,16
RAJESH RANJAN (PAPPU YADAV),MANOJ RAJORIA,RJD,BJP,1,TRUE,16
RAJESH RANJAN (PAPPU YADAV),NINONG ERING,RJD,INC,1,TRUE,16
RAJESH VERMA,BHAGWANTH KHUBA,Regional,BJP,1,TRUE,16
RAJESH VERMA,VISHNU DAYAL RAM,Regional,BJP,1,TRUE,17
RAJIV PRATAP RUDY,KIRIT PREMJIBHAI SOLANKI,BJP,BJP,1,FALSE,16
RAJKUMAR CHAHAR,DEBASREE CHAUDHURI,BJP,BJP,1,FALSE,17
RAJMOHAN UNNITHAN,PINAKI MISRA,INC,Regional,1,TRUE,17
RAKESH SINGH,BIDYUT BARAN MAHATO,BJP,BJP,1,FALSE,16
RAKESH SINGH,KALYAN BANERJEE,BJP,INC,1,TRUE,17
RAKESH SINGH,UDAY PRATAP SINGH,BJP,BJP,1,FALSE,16
RAM KRIPAL YADAV,DINESH CHANDRA YADAV,BJP,JDU,1,TRUE,17
RAM KRIPAL YADAV,KAUSHALENDRA KUMAR,BJP,JDU,1,TRUE,17
RAM KRIPAL YADAV,RAJENDRA AGRAWAL,BJP,BJP,1,FALSE,17
RAM TAHAL CHOUDHARY,LAXMAN GILUWA,BJP,BJP,1,FALSE,16
RAM TAHAL CHOUDHARY,LAXMI NARAYAN YADAV,BJP,BJP,1,FALSE,16
RAM TAHAL CHOUDHARY,NARANBHAI KACHHADIA,BJP,BJP,1,FALSE,16
RAM TAHAL CHOUDHARY,RAMA DEVI,BJP,BJP,1,FALSE,16
RAMA DEVI,DIPSINH SHANKARSINH RATHOD,BJP,BJP,1,FALSE,16
RAMA DEVI,HARISH DWIVEDI,BJP,BJP,1,FALSE,17
RAMA DEVI,KONDA VISHWESHWAR REDDY,BJP,BJP,1,FALSE,16
RAMA DEVI,MAHABALI SINGH,BJP,JDU,1,TRUE,17
RAMA DEVI,PASHUPATI NATH SINGH,BJP,BJP,1,FALSE,17
RAMA DEVI,RAMESH CHANDER KAUSHIK,BJP,BJP,1,FALSE,17
RAMA DEVI,RANJEETA KOLI,BJP,BJP,1,FALSE,17
RAMA DEVI,RODMAL NAGAR,BJP,BJP,1,FALSE,16
RAMA DEVI,VIJAY KUMAR HANSDAK,BJP,Regional,1,TRUE,16
RAMA KISHORE SINGH,E. T. MOHAMMED BASHEER,Regional,Regional,1,FALSE,16
RAMAPATI RAM TRIPATHI,ANURAG SHARMA,BJP,BJP,1,FALSE,17
RAMAPATI RAM TRIPATHI,DEEPAK BAIJ,BJP,INC,1,TRUE,17
RAMCHARAN BOHARA,KALIKESH NARAYAN SINGH DEO,BJP,Regional,1,TRUE,16
RAMCHARAN BOHARA,RAYAPATI SAMBASIVA RAO,BJP,TDP,1,TRUE,16
RAMESH BIDHURI,JAYANT SINHA,BJP,BJP,1,FALSE,17
RAMESH BIDHURI,MUKESH RAJPUT,BJP,BJP,1,FALSE,16
RAMESH BIDHURI,SATYADEV PACHAURI,BJP,BJP,1,FALSE,17
RAMESH BIDHURI,SUKHBIR SINGH JAUNAPURIA,BJP,BJP,1,FALSE,17
RAMESH BIDHURI,Y. S. AVINASH REDDY,BJP,INC,1,TRUE,17
RAMESH CHAND BIND,UNMESH BHAIYYASAHEB PATIL,BJP,BJP,1,FALSE,17
RAMESH CHANDER KAUSHIK,ANIL FIROJIYA,BJP,BJP,1,FALSE,17
RAMESH CHANDER KAUSHIK,HANUMAN BENIWAL,BJP,Regional,1,TRUE,17
RAMESH CHANDER KAUSHIK,JUGAL KISHORE SHARMA,BJP,BJP,1,FALSE,17
RAMESH CHANDER KAUSHIK,JYOTIRMAY SINGH MAHATO,BJP,BJP,1,FALSE,17
RAMESH CHANDER KAUSHIK,KRISHNA RAJ,BJP,BJP,1,FALSE,16
RAMESH CHANDER KAUSHIK,LOCKET CHATTERJEE,BJP,BJP,1,FALSE,17
RAMESH CHANDER KAUSHIK,MANOJ RAJORIA,BJP,BJP,1,FALSE,17
RAMESH CHANDER KAUSHIK,RAJU BISTA,BJP,BJP,1,FALSE,17
RAMESH CHANDER KAUSHIK,SUBHASH PATEL,BJP,BJP,1,FALSE,16
RAMESH CHANDER KAUSHIK,VISHNU DAYAL RAM,BJP,BJP,1,FALSE,16
RAMESH CHANDRA MAJHI,MANJULATA MANDAL,Regional,Regional,1,FALSE,17
RAMESH CHANDRA MAJHI,UPENDRA SINGH RAWAT,Regional,BJP,1,TRUE,17
RAMYA HARIDAS,SUMEDHANAND SARASWATI,INC,BJP,1,TRUE,17
RANJEET RANJAN,KALIKESH NARAYAN SINGH DEO,INC,Regional,1,TRUE,16
RANJEET RANJAN,LAXMAN GILUWA,INC,BJP,1,TRUE,16
RANJEET RANJAN,NINONG ERING,INC,INC,1,FALSE,16
RANJEETA KOLI,MANOJ RAJORIA,BJP,BJP,1,FALSE,17
RANJEETA KOLI,PASHUPATI NATH SINGH,BJP,BJP,1,FALSE,17
RANJEETA KOLI,SUNIL KUMAR SINGH,BJP,BJP,1,FALSE,17
RATTAN LAL KATARIA,JAYANT SINHA,BJP,BJP,1,FALSE,17
RATTAN LAL KATARIA,PRASUN BANERJEE,BJP,INC,1,TRUE,16
RAVINDRA KUMAR PANDEY,LALLU SINGH,BJP,BJP,1,FALSE,16
RAVINDRA KUMAR PANDEY,RAVINDRA KUMAR RAY,BJP,BJP,1,FALSE,16
RAVINDRA KUMAR PANDEY,SUNIL KUMAR SINGH,BJP,BJP,1,FALSE,16
RAVINDRA KUMAR RAY,BALABHADRA MAJHI,BJP,BJP,1,FALSE,16
RAVINDRA KUMAR RAY,CHINTAMANI MALVIYA,BJP,BJP,1,FALSE,16
RAVINDRA KUMAR RAY,SANKAR PRASAD DATTA,BJP,Left,1,TRUE,16
RAVINDRA KUMAR RAY,SHER SINGH GHUBAYA,BJP,INC,1,TRUE,16
RAVINDRA KUSHAWAHA,AJAY NISHAD,BJP,BJP,1,FALSE,16
RAVINDRA KUSHAWAHA,KHAGEN MURMU,BJP,BJP,1,FALSE,17
RAVINDRA KUSHAWAHA,LALLU SINGH,BJP,BJP,1,FALSE,17
RAVINDRA KUSHAWAHA,RAM TAHAL CHOUDHARY,BJP,BJP,1,FALSE,16
RAVINDRA KUSHAWAHA,SANJAY BHATIA,BJP,BJP,1,FALSE,17
RAVINDRA KUSHAWAHA,VISHNU DAYAL RAM,BJP,BJP,1,FALSE,17
RAYAPATI SAMBASIVA RAO,ADHIR RANJAN CHOWDHURY,TDP,INC,1,TRUE,16
RAYAPATI SAMBASIVA RAO,ANIRUDHAN SAMPATH,TDP,Left,1,TRUE,16
RAYAPATI SAMBASIVA RAO,ANTO ANTONY,TDP,INC,1,TRUE,16
REBATI TRIPURA,ANURAG SHARMA,BJP,BJP,1,FALSE,17
REBATI TRIPURA,C.N. ANNADURAI,BJP,DMK,1,TRUE,17
REBATI TRIPURA,MAHABALI SINGH,BJP,JDU,1,TRUE,17
REBATI TRIPURA,SANDHYA RAY,BJP,BJP,1,FALSE,17
REBATI TRIPURA,SANTOSH KUMAR,BJP,JDU,1,TRUE,17
RITA BAHUGUNA JOSHI,DINESH CHANDRA YADAV,BJP,JDU,1,TRUE,17
RITA BAHUGUNA JOSHI,PRATAPRAO JADHAV,BJP,Shiv Sena,1,TRUE,17
RITA BAHUGUNA JOSHI,SHRIKANT EKNATH SHINDE,BJP,Shiv Sena,1,TRUE,17
RITA BAHUGUNA JOSHI,UNMESH BHAIYYASAHEB PATIL,BJP,BJP,1,FALSE,17
RITA TARAI,BALABHADRA MAJHI,Regional,BJP,1,TRUE,16
RITA TARAI,NAGENDRA KUMAR PRADHAN,Regional,Regional,1,FALSE,16
RITA TARAI,SHOBHA KARANDLAJE,Regional,BJP,1,TRUE,16
RITI PATHAK,ANIRUDHAN SAMPATH,BJP,Left,1,TRUE,16
RITI PATHAK,DILESHWAR KAMAIT,BJP,JDU,1,TRUE,17
RITI PATHAK,LOCKET CHATTERJEE,BJP,BJP,1,FALSE,17
RITI PATHAK,NISHIKANT DUBEY,BJP,BJP,1,FALSE,16
RITI PATHAK,SHANKAR LALWANI,BJP,BJP,1,FALSE,17
RITI PATHAK,SUNIL KUMAR PINTU,BJP,JDU,1,TRUE,17
RODMAL NAGAR,CHANDRA PRAKASH JOSHI,BJP,BJP,1,FALSE,17
RODMAL NAGAR,DUSHYANT CHAUTALA,BJP,Regional,1,TRUE,16
RODMAL NAGAR,GAURAV GOGOI,BJP,INC,1,TRUE,16
RODMAL NAGAR,OM PRAKASH YADAV,BJP,BJP,1,FALSE,16
RODMAL NAGAR,RAKESH SINGH,BJP,BJP,1,FALSE,16
RODMAL NAGAR,SUMEDHANAND SARASWATI,BJP,BJP,1,FALSE,16
RODMAL NAGAR,TAPIR GAO,BJP,BJP,1,FALSE,17
RODMAL NAGAR,VINOD KUMAR BOIANAPALLI,BJP,Regional,1,TRUE,16
S. RAMALINGAM,T. R. PAARIVENDHAR,DMK,DMK,1,FALSE,17
S. VENKATESAN,KAMLESH PASWAN,Left,BJP,1,TRUE,17
SADHU SINGH,PREM SINGH CHANDUMAJRA,AAP,Regional,1,TRUE,16
SAJDA AHMED,ALOK KUMAR SUMAN,INC,JDU,1,TRUE,17
SAJDA AHMED,DUSHYANT SINGH,INC,BJP,1,TRUE,17
SAJDA AHMED,KANIMOZHI KARUNANIDHI,INC,DMK,1,TRUE,17
SAJDA AHMED,PRASUN BANERJEE,INC,INC,1,FALSE,16
SAJDA AHMED,SARMISTHA SETHI,INC,Regional,1,TRUE,17
SANDHYA RAY,KRISHNA PAL SINGH YADAV,BJP,BJP,1,FALSE,17
SANDHYA RAY,REBATI TRIPURA,BJP,BJP,1,FALSE,17
SANGEETA KUMARI SINGH DEO,BHOLA SINGH,BJP,BJP,1,FALSE,17
SANGEETA KUMARI SINGH DEO,SUNITA DUGGAL,BJP,BJP,1,FALSE,17
SANGEETA KUMARI SINGH DEO,VINOD KUMAR SONKAR,BJP,BJP,1,FALSE,17
SANJAY JAISWAL,KOTAGIRI SRIDHAR,BJP,INC,1,TRUE,17
SANJAY JAISWAL,KRUPAL BALAJI TUMANE,BJP,Shiv Sena,1,TRUE,16
SANJAY SETH,C.N. ANNADURAI,BJP,DMK,1,TRUE,17
SANJAY SHAMRAO DHOTRE,ANIRUDHAN SAMPATH,BJP,Left,1,TRUE,16
SANJAY SHAMRAO DHOTRE,JAGDAMBIKA PAL,BJP,BJP,1,FALSE,16
SANJAY SHAMRAO DHOTRE,PREM SINGH CHANDUMAJRA,BJP,Regional,1,TRUE,16
SANJAY SHAMRAO DHOTRE,RAMESWAR TELI,BJP,BJP,1,FALSE,16
SANJAY SHAMRAO DHOTRE,VISHNU DAYAL RAM,BJP,BJP,1,FALSE,16
SANJEEV KUMAR BALYAN,NISHIKANT DUBEY,BJP,BJP,1,FALSE,16
SANKAR PRASAD DATTA,PINAKI MISRA,Left,Regional,1,TRUE,16
SANKAR PRASAD DATTA,RAJ KUMAR SAINI,Left,BJP,1,TRUE,16
SANTOKH SINGH CHAUDHARY,SANJAY JAISWAL,INC,BJP,1,TRUE,17
SANTOKH SINGH CHAUDHARY,SANTOSH PANDEY,INC,BJP,1,TRUE,17
SANTOSH KUMAR,DINESH CHANDRA YADAV,JDU,JDU,1,FALSE,17
SANTOSH KUMAR,JYOTI DHURVE,JDU,BJP,1,TRUE,16
SANTOSH KUMAR,KAUSHALENDRA KUMAR,JDU,JDU,1,FALSE,17
SANTOSH KUMAR,MAMTAZ SANGHAMITA,JDU,INC,1,TRUE,16
SANTOSH KUMAR,REBATI TRIPURA,JDU,BJP,1,TRUE,17
SARMISTHA SETHI,GUMAN SINGH DAMOR,Regional,BJP,1,TRUE,17
SATISH CHANDRA DUBEY,LAKHAN LAL SAHU,BJP,BJP,1,FALSE,16
SATYA PAL SINGH,CHANDRA PRAKASH JOSHI,BJP,BJP,1,FALSE,17
SATYA PAL SINGH,SUMEDHANAND SARASWATI,BJP,BJP,1,FALSE,16
SATYADEV PACHAURI,KAUSHALENDRA KUMAR,BJP,JDU,1,TRUE,17
SATYADEV PACHAURI,PRADEEP KUMAR SINGH,BJP,BJP,1,FALSE,17
SAUGATA ROY,KULAMANI SAMAL,INC,Regional,1,TRUE,16
SAUGATA ROY,MAHEISH GIRRI,INC,BJP,1,TRUE,16
SAUGATA ROY,RODMAL NAGAR,INC,BJP,1,TRUE,16
SHANKAR LALWANI,P. RAVINDHRANATH,BJP,Independent,1,TRUE,17
SHANKAR LALWANI,QUEEN OJA,BJP,BJP,1,FALSE,17
SHARAD TRIPATHI,K. C. VENUGOPAL,BJP,INC,1,TRUE,16
SHASHI THAROOR,NINONG ERING,INC,INC,1,FALSE,16
SHASHI THAROOR,SAUGATA ROY,INC,INC,1,FALSE,16
SHER SINGH GHUBAYA,SUDHEER GUPTA,INC,BJP,1,TRUE,16
SHIVKUMAR CHANABASAPPA UDASI,ALOK SANJAR,BJP,BJP,1,FALSE,16
SHOBHA KARANDLAJE,TATHAGATA SATPATHY,BJP,Regional,1,TRUE,16
SHRIKANT EKNATH SHINDE,DHARMENDRA YADAV,Shiv Sena,SP,1,TRUE,16
SHRIKANT EKNATH SHINDE,DURGA DAS UIKEY,Shiv Sena,BJP,1,TRUE,17
SHRIKANT EKNATH SHINDE,NAGENDRA KUMAR PRADHAN,Shiv Sena,Regional,1,TRUE,16
SHRIKANT EKNATH SHINDE,RAMA DEVI,Shiv Sena,BJP,1,TRUE,16
SHRIKANT EKNATH SHINDE,RITA BAHUGUNA JOSHI,Shiv Sena,BJP,1,TRUE,17
SUBHASH PATEL,RITI PATHAK,BJP,BJP,1,FALSE,16
SUDHEER GUPTA,CHANDRA PRAKASH JOSHI,BJP,BJP,1,FALSE,17
SUDHEER GUPTA,DHARMENDRA YADAV,BJP,SP,1,TRUE,16
SUDHEER GUPTA,MAUSAM NOOR,BJP,INC,1,TRUE,16
SUKANTA MAJUMDAR,BHOLA SINGH,BJP,BJP,1,FALSE,17
SUKANTA MAJUMDAR,JAYANTA KUMAR ROY,BJP,BJP,1,FALSE,17
SUKANTA MAJUMDAR,KRIPANATH MALLAH,BJP,BJP,1,FALSE,17
SUKHBIR SINGH JAUNAPURIA,THOMAS CHAZHIKADAN,BJP,INC,1,TRUE,17
SUMEDHANAND SARASWATI,SATYA PAL SINGH,BJP,BJP,1,FALSE,17
SUMEDHANAND SARASWATI,SUKHBIR SINGH JAUNAPURIA,BJP,BJP,1,FALSE,17
SUNIL BABURAO MENDHE,DULAL CHANDRA GOSWAMI,BJP,JDU,1,TRUE,17
SUNIL KUMAR PINTU,MAHABALI SINGH,JDU,JDU,1,FALSE,17
SUNIL KUMAR PINTU,RODMAL NAGAR,JDU,BJP,1,TRUE,17
SUNIL KUMAR SINGH,ANOOP MISHRA,BJP,BJP,1,FALSE,16
SUNIL KUMAR SINGH,CHANDRA PRAKASH JOSHI,BJP,BJP,1,FALSE,17
SUNIL KUMAR SINGH,E. T. MOHAMMED BASHEER,BJP,Regional,1,TRUE,16
SUNIL KUMAR SINGH,KHAGEN MURMU,BJP,BJP,1,FALSE,17
SUNIL KUMAR SINGH,POONAM MAHAJAN,BJP,BJP,1,FALSE,16
SUNIL KUMAR SINGH,RAVINDRA KUMAR RAY,BJP,BJP,1,FALSE,16
SUNIL KUMAR SINGH,VINOD KUMAR BOIANAPALLI,BJP,Regional,1,TRUE,16
SUNIL KUMAR SINGH,VISHNU DAYAL RAM,BJP,BJP,1,FALSE,16
SUNITA DUGGAL,CHANDRA SEKHAR SAHU,BJP,Regional,1,TRUE,17
SUSHIL KUMAR SINGH,CHINTA ANURADHA,BJP,INC,1,TRUE,17
SUSHIL KUMAR SINGH,PINAKI MISRA,BJP,Regional,1,TRUE,17
SUSHIL KUMAR SINGH,RAVINDRA KUMAR PANDEY,BJP,BJP,1,FALSE,16
SUSHIL KUMAR SINGH,SAUGATA ROY,BJP,INC,1,TRUE,16
SUSHIL KUMAR SINGH,SUDARSHAN BHAGAT,BJP,BJP,1,FALSE,17
SUSHIL KUMAR SINGH,SUMEDHANAND SARASWATI,BJP,BJP,1,FALSE,16
SUSHMITA DEV,ASADUDDIN OWAISI,INC,Regional,1,TRUE,16
SUSHMITA DEV,KANWAR SINGH TANWAR,INC,BJP,1,TRUE,16
SUSHMITA DEV,P. KARUNAKARAN,INC,Left,1,TRUE,16
SUSHMITA DEV,RABINDRA KUMAR JENA,INC,Regional,1,TRUE,16
SUSHMITA DEV,RAJESH RANJAN (PAPPU YADAV),INC,RJD,1,TRUE,16
SUSHMITA DEV,SANTOSH AHLAWAT,INC,BJP,1,TRUE,16
SUSHMITA DEV,THOKCHOM MEINYA,INC,INC,1,FALSE,16
T. R. PAARIVENDHAR,CHANDRA SEKHAR SAHU,DMK,Regional,1,TRUE,17
T. R. PAARIVENDHAR,KOTAGIRI SRIDHAR,DMK,INC,1,TRUE,17
T. R. PAARIVENDHAR,RAM KRIPAL YADAV,DMK,BJP,1,TRUE,17
TAPIR GAO,LALLU SINGH,BJP,BJP,1,FALSE,17
THOKCHOM MEINYA,ALOK SANJAR,INC,BJP,1,TRUE,16
TIRATH SINGH RAWAT,SANJAY JAISWAL,BJP,BJP,1,FALSE,17
TIRATH SINGH RAWAT,T. R. PAARIVENDHAR,BJP,DMK,1,TRUE,17
UDAY PRATAP SINGH,BODH SINGH BHAGAT,BJP,BJP,1,FALSE,16
UDAY PRATAP SINGH,RODMAL NAGAR,BJP,BJP,1,FALSE,17
UDIT RAJ,MALLIKARJUN KHARGE,BJP,INC,1,TRUE,16
UNMESH BHAIYYASAHEB PATIL,SHRIKANT EKNATH SHINDE,BJP,Shiv Sena,1,TRUE,17
UPENDRA SINGH RAWAT,RAMESH BIDHURI,BJP,BJP,1,FALSE,17
VEENA DEVI,RAHUL KASWAN,Regional,INC,1,TRUE,16
VIJAY BAGHEL,MOHAN MANDAVI,BJP,BJP,1,FALSE,17
VIJAY BAGHEL,SUNIL KUMAR SONI,BJP,BJP,1,FALSE,17
VIJAY KUMAR DUBEY,C.N. ANNADURAI,BJP,DMK,1,TRUE,17
VIJAY KUMAR HANSDAK,LAXMAN GILUWA,Regional,BJP,1,TRUE,16
VIJAY KUMAR HANSDAK,RAMA DEVI,Regional,BJP,1,TRUE,16
VIJAY KUMAR HANSDAK,VINOD KUMAR BOIANAPALLI,Regional,Regional,1,FALSE,16
VIKRAM USENDI,HARIOM SINGH RATHORE,BJP,BJP,1,FALSE,16
VINOD KUMAR BOIANAPALLI,ARJUN RAM MEGHWAL,Regional,BJP,1,TRUE,16
VINOD KUMAR BOIANAPALLI,JYOTI DHURVE,Regional,BJP,1,TRUE,16
VINOD KUMAR BOIANAPALLI,OM BIRLA,Regional,BJP,1,TRUE,16
VINOD KUMAR SONKAR,BHARTRUHARI MAHTAB,BJP,BJP,1,FALSE,16
VINOD KUMAR SONKAR,RAJA AMARESHWARA NAIK,BJP,BJP,1,FALSE,17
VINOD KUMAR SONKAR,UDIT RAJ,BJP,BJP,1,FALSE,16
VIRENDRA KUMAR,KALIKESH NARAYAN SINGH DEO,BJP,Regional,1,TRUE,16
VIRENDRA KUMAR,PRATIMA BHOUMIK,BJP,BJP,1,FALSE,17
VISHNU DAYAL RAM,BHARAT SINGH,BJP,BJP,1,FALSE,16
VISHNU DAYAL RAM,GAJENDRA SINGH SHEKHAWAT,BJP,BJP,1,FALSE,16
VISHNU DAYAL RAM,JANARDAN MISHRA,BJP,BJP,1,FALSE,16
VISHNU DAYAL RAM,KALIKESH NARAYAN SINGH DEO,BJP,Regional,1,TRUE,16
VISHNU DAYAL RAM,NITESH GANGA DEB,BJP,BJP,1,FALSE,17
VISHNU DAYAL RAM,RANJANBEN DHANANJAY BHATT,BJP,BJP,1,FALSE,17
Y. S. AVINASH REDDY,ADOOR PRAKASH,INC,INC,1,FALSE,17
Y. S. AVINASH REDDY,BHARTRUHARI MAHTAB,INC,BJP,1,TRUE,17
Y. S. AVINASH REDDY,DUSHYANT SINGH,INC,BJP,1,TRUE,16
Y. S. AVINASH REDDY,JANARDAN MISHRA,INC,BJP,1,TRUE,16
Y. S. AVINASH REDDY,JASKAUR MEENA,INC,BJP,1,TRUE,17
Y. S. AVINASH REDDY,MAGUNTA SREENIVASULU REDDY,INC,TDP,1,TRUE,17
