raw_name,dim1,dim2,party_family
(Dr.) D. P. Vats (Retd.),-0.002825651252115519,-6.576062422969337e-4,BJP
A. D. Singh,-0.00297972852474146,-0.001082566695148836,INC
A. K. Selvaraj,-0.002934055039607566,-0.001312107806533806,DMK
Aditya Prasad,-0.0031625955214527016,-0.001057718591800355,BJP
Ahmad Ashfaque Karim,-0.002999600344961612,1.6054071819457323e-4,RJD
Ajay Pratap Singh,-0.002996771621326552,-2.5968829128741546e-4,JDU
Akhilesh Prasad Singh,-0.0024527897043717718,-7.538012677557118e-4,INC
Amar Patnaik,-0.0028298478070444403,-9.671331357449319e-4,BJD
Amar Shankar Sable,-0.00304826086535304,0.0022776150928728407,BJP
Amar Singh,-0.0022569135787198894,-0.002597647237145035,Other
Ambika Soni,-0.002913858093985247,-4.769455607139295e-4,INC
Amee Yajnik,-0.002846252315016661,-9.963329863931865e-4,INC
Anand Sharma,-0.0029936009158815034,-0.0010558239240502294,INC
Aneel Prasad Hegde,0.029676942805744972,-7.71499882626855e-4,JDU
Anil Agrawal,-0.0030793220236517782,-0.0014627496820016394,BJP
Anil Desai,-0.002988351803668053,0.0018107791996548582,Other
Anil Jain,-0.0030409431063781445,-0.0010037067392216273,BJP
Anil Kumar Yadav Mandadi,-0.003140083017055686,-0.0012912721304079943,RJD
Anil Sukhdeorao Bonde,-0.0025242370572876992,-1.4501790359002292e-4,RJD
Ashok Bajpai,-0.00307072862825218,-0.0011519024424436746,BJP
Ashok Kumar Mittal,-0.002798790621720833,-3.4195929467522137e-4,BJP
Ashokrao Shankarrao Chavan,-0.003027829284361151,7.086749588043334e-4,NCP
B. Lingaiah Yadav,-0.0030570637151958353,-0.0017913374691720058,JDU
B. Parthasaradhi Reddy,-0.002945660766790466,-0.0010447306667836153,Other
B.K. Hariprasad,-0.003042773488153544,-4.8027862147253733e-4,INC
Babubhai Jesangbhai Desai,-0.0031195256188235798,-0.0015500486617033538,Other
Baburam Nishad,-0.0029698928937570055,-0.0011506158534485042,SP
Balwinder Singh Bhunder,-0.0029620947960877285,-0.0017020751834444568,Other
Banda Prakash,-0.003015472269475103,-7.602339527315534e-4,TRS
Basawaraj Patil,-0.0029551840554065756,0.0017417028180367587,INC
Bhaskar Rao Nekkanti,-0.0030215637094286557,0.002112365592139382,INC
Bhim Singh,-0.00303861638093575,-0.0011307747470266777,INC
Bhubaneswar Kalita,-0.0019261111015185881,-0.0010889147721939922,INC
Bhupender Yadav,-0.003036243817986403,-8.986730904819761e-4,BJP
Bhupinder Singh,-0.0029335468899366526,-7.118349764214936e-4,BJD
Binoy Viswam,-0.0029506591268873648,-9.56282813266762e-4,Left
Biplab Kumar Deb,-0.003113896962256458,-0.0021726416214157525,BJP
Brij Lal,-1.9706471604922444e-4,-0.0011893417201468818,BJP
C.M. Ramesh,-0.002697727566831224,-9.276060514925989e-4,TDP
C.P. Narayanan,-0.0029809444224625967,-0.0013565532348615468,Left
Chhaya Verma,-0.002984553829104591,-2.2715234200477327e-4,INC
D. Kupendra Reddy,-0.0029148161141134485,0.0014652110762763976,Other
Darshana Singh,-0.0030221284928522653,-5.901871267633167e-4,INC
Deepak Prakash,-0.002928446184769499,-0.0011394171230386344,TRS
Devender Goud T.,-0.00292464793712458,8.810493931369297e-4,TDP
Dhairyashil Mohan Patil,-0.002932191280353018,-0.0015335463682657436,INC
Dhiraj Prasad Sahu,-0.00287297044187221,-0.0011212117194798292,BJP
Digvijaya Singh,-0.002902949449152493,-7.229119765523778e-4,INC
Dinesh Trivedi,-0.0030072426320697614,-0.001495112161798903,BJP
Dola Sen,-0.002980873903720432,-0.0012606610864413872,Left
Elamaram Kareem,-0.0028984686422592085,-0.0013442083792609626,Left
Fauzia Khan,-0.0029850751465614156,-0.0011004193836718253,INC
G.V.L. Narasimha Rao,-0.0028186408375854306,6.90476748984041e-4,TRS
Harbhajan Singh,-0.0029873921123060383,-1.7554651629048316e-4,INC
Harivansh,-0.003020114517706588,-0.0010579553436649122,JDU
Harnath Singh Yadav,-0.002255013582621491,-7.199763763561292e-4,JDU
Husain Dalwai,-0.001910612966222042,-0.0011688328977104783,INC
Imran Pratapgarhi,-0.0027808695539239983,-7.548816227331933e-5,TMC
Javed Ali Khan,-0.0028529751881764655,-4.070186654420465e-4,INC
Jawhar Sircar,-0.0029537169323680165,-0.001208257301363753,TMC
Jaya Amitabh Bachchan,-0.0030662171902525563,-0.0015155199992844808,SP
Jharna Das Baidya,-0.0029557353763879205,-0.001205773512744966,Left
K. Keshava Rao,-0.0031275751405817212,-0.0017129411859192977,TRS
K.C. Tyagi,-0.003085812927421759,-2.4284774541293992e-4,JDU
K.C. Venugopal,-0.0029677974248645943,-9.064817319638735e-4,INC
K.J. Alphons,-0.003001283868657319,-0.001407804417113324,BJP
K.P. Ramalingam,-0.0029817201877827782,-0.002213581428116962,DMK
K.R. Suresh Reddy,-0.0027650507167094494,-0.0018342053738144885,Other
K.V.P. Ramachandra Rao,-0.0029354501500627093,-0.001337513433030183,TRS
Kahkashan Perween,-0.003037816061788101,-0.001473880780350597,RJD
Kalpana Saini,-0.002362901720335391,-0.0016539314571688776,BSP
Kamakhya Prasad Tasa,-0.002994100675529194,-8.688816047743664e-4,BJP
Kanakamedala Ravindra Kumar,-0.002943422169220486,-9.307384855768922e-4,TDP
Kanwar Deep Singh,-0.003034379121438073,-0.0014613003472597897,TMC
Kapil Sibal,-0.0030410298340195945,-9.531861709268106e-4,INC
Kartikeya Sharma,-0.002968285766765171,-7.248014931905067e-4,INC
Kumar Ketkar,-0.003003794388877982,0.0028073730160642876,INC
Lal Sinh Vadodia,-0.003034369615444187,-2.9529261848903647e-4,BJP
M.P. Veerendra Kumar,-0.002251233879101069,-5.215337568817717e-4,Other
M.V. Rajeev Gowda,-0.0027226310856534354,-0.0015056093452781062,INC
M.V. Shreyams Kumar,-0.00298191597578513,-0.001089884243735732,Left
Mahendra Singh Mahra,-0.0030552508668801326,-2.118664075907905e-4,INC
Mahesh Poddar,-0.002905874339830542,2.7160388078586946e-4,BJP
Mamata Mohanta,-0.002937503632614304,-0.0012786625049139406,BJD
Manoj Kumar Jha,-0.0029829814368038587,-7.843557620197683e-4,BJP
Meghraj Jain,-0.002396219235512379,-0.0011266966353746725,BJP
Mithlesh Kumar,-0.0030028617995524424,-0.0013619793361981732,BJP
Mohammed Nadimul Haque,-0.002891758277819308,-0.00111156565526283,TMC
Mohd. Ali Khan,-0.0030176755447747935,-0.0011003947369255104,INC
Motilal Vora,-0.0028501376444496993,-5.836403629160076e-4,INC
Muzibulla Khan,-0.0029927676905359083,-0.001170274585505164,INC
Narain Dass Gupta,-0.0029605092518582214,0.0010922086164392001,TMC
Narayan Lal Panchariya,-0.0029620839099682517,-0.0012311467226874795,BJP
Narendra Jadhav,-0.0026582317965105143,-0.004577003209403972,BSP
Narendra Kumar Swain,-0.0031262717641838823,-0.001529518681416059,BJD
Naresh Agrawal,-0.0029680630908205706,-0.0014277072618203318,BJP
Naresh Bansal,-0.0026557931467679477,-0.001080120352114107,BJP
Naresh Gujral,-0.003082413290704795,-0.0014982219944052616,Other
Om Prakash Mathur,-0.003161104958988743,-7.009001547724745e-4,BJP
P.L. Punia,-0.0029617127051515648,-8.090735788854698e-4,INC
Palvai Govardhan Reddy,-0.0030202014560625217,-0.0011888531876325815,INC
Parimal Nathwani,-0.0029133534966343027,-8.208092037329727e-4,Other
Partap Singh Bajwa,-0.0028812519418897724,-0.0012753621386487578,INC
Phulo Devi Netam,-0.003026009284244079,5.017221538247996e-4,BJP
Prabhakar Kore,-0.0029760370409160565,-0.0010837165139866824,BJP
Prabhakar Reddy Vemireddy,-0.002742251994347938,5.851312620844366e-4,YSRCP
Prabhat Jha,-0.0029820061145090708,-0.001079739447384684,BJP
Pradeep Kumar Balmuchu,-0.0031482864130207484,-0.0023772674484619514,INC
Prakash Javadekar,-0.0029601045655885385,-0.0010879407395593614,BJP
Pramod Tiwari,-0.0028657497872110593,-8.828972601416766e-4,INC
Prem Chand Gupta,-0.0033841203795717924,0.14960139131301753,RJD
Priyanka Chaturvedi,-0.0029215265582713803,-0.0011619080276351812,INC
Radha Mohan Das Agrawal,-0.002749268924367428,-9.950653783720698e-4,BJP
Rajani Ashokrao Patil,-0.002858453340312454,0.0037179871857095383,INC
Rajeev Chandrasekhar,-0.0030089570133270396,-0.0017132053001738792,BJP
Rajeev Shukla,-0.002913303749951911,-0.0010036914414078876,INC
Rajkumar Dhoot,-0.003044934600650232,-0.001139068190617222,Other
Rajmani Patel,-0.002996922763356898,-3.392849090930664e-4,INC
Rakesh Sinha,-0.003043531846316908,2.665124908215842e-4,BJP
Ram Kumar Kashyap,-0.0029964358192224915,-0.001094583400862776,BSP
Ram Nath Thakur,-0.0027123468774365718,-9.083345413206712e-4,BJP
Ram Shakal,-0.002758700815171981,-8.198968526594282e-4,BJP
Ram Vichar Netam,-0.0029366076311962484,1.7959033588880443e-4,BJP
Ramkumar Verma,-0.002968680734994752,-0.0015712566945847862,INC
Ranee Narah,-0.0030916065005553166,-4.828185180152954e-4,INC
Ranjib Biswal,-0.0030169678786584977,-4.665535165079038e-4,INC
Ravi Chandra Vaddiraju,-0.0031701996633791687,-0.0013455154487386266,TRS
Ravi Prakash Verma,-0.0030137358100648377,-5.26479163103299e-4,BJP
Renuka Chowdhury,-0.0029543926697029013,-0.0013014164354189113,INC
Rewati Raman Singh,-0.002996404694417085,-0.0013118358761300356,SP
Ripun Bora,-0.0028956148435903546,-0.0011389491670611134,INC
Ritabrata Banerjee,-0.002933168201913617,1.3330691443906708e-4,Other
Ryaga Krishnaiah,-0.003051833226803748,-6.259184808498856e-4,BJP
S Niranjan Reddy,-0.002848883758947236,-0.0012652270204494174,Other
S. Muthukaruppan,-0.0032744957609119997,-0.0025760067148232545,TMC
S. Thangavelu,-0.0029522785731748258,-0.00112772186435386,DMK
Samir Oraon,-0.003036512803930337,-0.0013770034533872966,BJP
Sandeep Kumar Pathak,-0.002951436354727603,1.3389306987077938e-4,BSP
Sandosh Kumar P,0.4975318481180285,2.0471066526320188e-4,BJP
Sangeeta Yadav,-0.0030714265425513887,-0.007606853385455657,BJP
Sanjay Kumar Jha,-0.0030776462241126363,-0.0014221155700028935,BJP
Sanjay Raut,-0.0029514904445007645,-0.0010660005189380652,Other
Sanjay Seth,-4.8013768371516467e-4,-3.534462635605522e-4,Other
Sanjay Singh,-0.0028521477335875373,-9.847242200937527e-4,AAP
Sanjay Sinh,-0.0029638310444603418,-9.382966281735527e-4,Other
Sanjiv Kumar,-0.003009529085055393,-3.5789913721509216e-4,BJP
Sant Balbir Singh,-0.0029019191355015165,-5.566875844780755e-4,INC
Santanu Sen,-0.0029359933863982203,-7.709929264019291e-4,Left
Saroj Pandey,-0.0029736485151137183,-9.640326192638813e-4,BJP
Sarojini Hembram,-0.003130901857499715,-0.001334581545236374,BJD
Sasikala Pushpa Ramaswamy,-0.002997703342257748,0.0023610292068526584,AIADMK
Sasmit Patra,-0.0027618542618181577,-1.32338511344551e-4,BJD
Satish Chandra Dubey,-0.003070965687337543,-0.0016681369439328826,BSP
Satnam Singh Sandhu,-0.002841922152140286,-8.964735341977166e-4,BJP
Satyanarayan Jatiya,-0.0026818031888009228,0.0011455144405848351,BJP
Seema Dwivedi,-0.0030539224286125427,-0.0019180118487917923,Left
Selja,-0.0030101186052734832,6.030158536462431e-4,INC
Shanta Chhetri,-0.003031197428111071,6.716339765495799e-5,BJP
Shantaram Naik,-0.0029846208264728887,-0.001085853524074305,BJP
Sikander Kumar,-0.00228757887799567,-9.408328728087498e-4,BJP
Subhas Chandra Bose Pilli,-0.0027077952938893723,-9.933351810590399e-4,BJD
Sujeet Kumar,-0.002375157848216946,-0.001356055877435781,BJP
Sukhdev Singh Dhindsa,-0.0030423085186902185,5.351759232939385e-4,Other
Sukhram Singh Yadav,-0.0030133359795639523,-0.0010729632874562373,SP
Sulata Deo,-0.0030622390178462913,-0.0012179729673821359,BJD
Sunetra Ajit Pawar,-0.0027598537809234627,-5.948924155659357e-4,NCP
Surendra Singh Nagar,-0.0029635341313998045,1.899871414409162e-4,BJP
Sushil Kumar Gupta,-0.0029573387801788754,-0.0010138446427901363,TMC
Sushil Kumar Modi,-0.0030129235565138786,-0.001203362882148114,BJP
Syed Naseer Hussain,-0.002972417660908714,-0.0015225599132518877,INC
Syed Zafar Islam,-0.00295503558265191,8.248918092331053e-4,INC
T. Subbarami Reddy,-0.0030226381317083233,-0.001328138375104355,INC
Tapan Kumar Sen,-0.002977363574628754,-0.0011355951679534871,Left
Tejveer Singh,-0.003097587110580147,-0.003474102176848709,INC
Tiruchi Siva,-0.00290170412037842,-0.0011738694684169174,DMK
V. Vijayasai Reddy,-0.002780685885137572,-8.339407871480306e-4,YSRCP
Vandana Chavan,-0.003003437833584216,-0.0011561516858192473,NCP
Vijay Goel,-6.41195465821608e-4,-0.0016469944772083702,BJP
Vijay Pal Singh Tomar,-0.0028866609994377293,0.00191582338099337,SP
Vinay P. Sahasrabuddhe,-0.0029342870931822478,-7.785249559558018e-4,BJP
Viplove Thakur,-0.0029851591171196415,2.7377754234532496e-4,INC
Vishambhar Prasad Nishad,-0.003032495970542908,-4.444247292417753e-4,SP
Vivek Gupta,-0.002886617165708138,-0.0014174975061286446,RJD
Vivek K. Tankha,-0.0029402327209493953,-0.0012506238505032897,INC
Y. S. Chowdary,-0.002590162413340083,-0.0014756076283267128,TDP
